rank,lei,institution_name,city,state,total_loans,white_rate,black_rate,asian_rate,native_rate,black_gap,asian_gap,native_gap,fairness_score,white_count,black_count,asian_count,native_count
1,5493001XKL0FTNOJ0866,"GENEVA FINANCIAL, LLC",ORO VALLEY,US-AZ,553,0.9328,0.9524,1.0,0.9,-0.0196,-0.0672,0.0328,-0.0196,372.0,147.0,24.0,10.0
2,549300D4ZYLSQ5LMTV35,ABSOLUTE HOME MORTGAGE CORPORATION,Fairfield,US-NJ,333,0.9565,0.9722,0.9683,1.0,-0.0157,-0.0117,-0.0435,-0.0157,161.0,108.0,63.0,1.0
3,254900K3H3XMRQNU9F32,"OVM FINANCIAL, INC.",Norfolk,US-VA,1704,0.9882,0.9892,1.0,0.9286,-0.001,-0.0118,0.0596,-0.001,1268.0,369.0,39.0,28.0
4,5493005EYZOUVJUXAX38,"LAKEVIEW COMMUNITY CAPITAL, LLC",Tempe,US-AZ,1803,0.9949,0.995,1.0,1.0,-0.0002,-0.0051,-0.0051,-0.0002,389.0,1405.0,4.0,5.0
5,549300QU641Z70NA3W22,Alpha Mortgage Corporation,Wilmington,US-NC,2449,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2226.0,159.0,52.0,12.0
6,549300PXL1KA5TOL2O82,"M/I FINANCIAL, LLC",COLUMBUS,US-OH,3087,0.9964,0.9964,0.9971,1.0,-0.0,-0.0007,-0.0036,-0.0,1103.0,277.0,1700.0,7.0
7,5493001SDQVS1NWYH012,"PREMIER LENDING, INC.",SANTA ROSA,US-CA,645,0.9882,0.9877,1.0,1.0,0.0006,-0.0118,-0.0118,0.0006,424.0,162.0,57.0,2.0
8,549300PBTV7FCWLSMM53,"MORTGAGE SOLUTIONS OF COLORADO, LLC",Littleton,US-CO,2667,0.9125,0.9116,0.9375,0.9615,0.0009,-0.025,-0.049,0.0009,1200.0,1425.0,16.0,26.0
9,549300BM4NS8HDJT3X28,"INTERCOASTAL MORTGAGE, LLC",Roanoke,US-VA,2651,0.9909,0.9899,0.9688,1.0,0.001,0.0222,-0.0091,0.001,2310.0,296.0,32.0,13.0
10,549300VMX06UV1F7NS76,"SUCCESS MORTGAGE PARTNERS, INC.",PLYMOUTH,US-MI,1037,0.9498,0.9457,0.9583,1.0,0.0041,-0.0085,-0.0502,0.0041,857.0,129.0,48.0,3.0
